﻿		ETA2SC Granularity	ETA2SC Granularity	ETA2SC Granularity	ETA2SC Granularity	ETA2SC Granularity	ETA2SC Granularity	ETA2SC Granularity	ETA2SC Granularity	ETA2SC Granularity	ETA2SC Granularity	ETA2SC Granularity	ETA2SC Granularity
Vin	Breakdown	29/06	30/06	01/07	02/07	05/07	06/07	09/07	12/07	13/07	15/07	16/07	19/07
*	Arrived	16	7										
*	Confident ETA			8									
*	Preliminary ETA					2	5	47	29	53		28	25
XP7YGCER5TB934697	Preliminary ETA										1		
XP7YGCFR3TB830143	Preliminary ETA				1								
