Meets Regionl Avg - Communcation 		12/29/25	1/5/26	1/12/26	1/19/26	1/26/26	2/2/26	2/9/26	2/16/26	2/23/26	3/2/26	3/9/26	3/16/26	3/23/26	3/30/26	4/6/26	4/13/26	4/20/26	4/27/26	5/4/26	5/11/26	5/18/26	5/25/26	6/1/26	6/8/26	6/15/26	6/22/26
Above	CSAT Count - Communication		1	4	5	9	9	9	35	53	52	80	70	77	39	5	10		20	47	29	53	50		21	49	20
Above	Communication		100%	90%	92%	82%	89%	84%	81%	73%	82%	77%	73%	72%	79%	92%	84%		78%	73%	74%	76%	70%		88%	79%	82%
Above	Communication 		80,8%	88,7%	83,1%	76,3%	83,6%	82,8%	73,9%	71,0%	72,0%	72,7%	70,5%	70,5%	66,5%	77,6%	75,8%		69,4%	70,0%	65,9%	64,9%	65,3%		70,2%	72,4%	72,2%
Below	CSAT Count - Communication	0																8						39			
Below	Communication																	50%						64%			
Below	Communication 	74,3%																64,1%						68,2%			
